cpt_cleaned,cpt_cleaned_standard,test_type,test_classification
XRAY-SCOUT FILM ABDOMEN,X-Ray - Scout Film Abdomen,Imaging,02 PCC+
PARTIAL THROMBOPLASTIN TIME CS,Partial Thromboplastin Time Cs,Laboratory,01 Clinic+
XRAY-UPPER ARM/HUMERUS (UNILATERAL),X-Ray - Upper Arm/Humerus (Unilateral),Imaging,02 PCC+
XRAY-LUMBOSACRAL SPINE AP LATERAL 10X12,X-Ray - Lumbosacral Spine Ap Lateral 10X12,Imaging,02 PCC+
FT3 VIDAS,Free T3 (FT3),Uncategorized,02 PCC+
SYPHILIS,Syphilis Test (VDRL/RPR),Uncategorized,02 PCC+
CERVICAL BIOPSY,Cervical Biopsy,Uncategorized,03 Hospital Only
CT-SCANEARS/ORBITS CONTRAST PHASE - PF,Ct-Scanears/Orbits Contrast Phase - Pf,Laboratory,01 Clinic+
XRAY-RIGHT KNEE APL,X-Ray - Right Knee Apl,Imaging,02 PCC+
"MRI-ABDOMEN, UPPER~MRCT-FILM [14X17 (8)]","MRI - Abdomen, Upper~Mrct-Film [14X17 (8)]",Imaging,03 Hospital Only
EDC ELECTRODESSICATION AND CURETTAGE,Edc Electrodessication And Curettage,Laboratory,01 Clinic+
ACCENTURE-XRAY-SCOLIOTIC SERIES,X-Ray - Scoliotic Series,Imaging,02 PCC+
CD 20 (B CELL ) = D,Cd 20 (B Cell ) = D,Uncategorized,02 PCC+
CD 30,Cd 30,Uncategorized,02 PCC+
CT SCAN-UPPER ABDOMEN CONTRAST PHASE - PF,CT Scan - Upper Abdomen Contrast Phase - Pf,Imaging,03 Hospital Only
GENE EXPERT,Gene Expert,Uncategorized,02 PCC+
GENEXPERT SPUTUM,Genexpert Sputum,Uncategorized,02 PCC+
XRAY - ( MOBILE ) HAND APL ( APO ) - UNILATERAL,X-Ray - ( Mobile ) Hand Apl ( Apo ) - Unilateral,Imaging,02 PCC+
XRAY-LEFT ANKLE MORTISE,X-Ray - Left Ankle Mortise,Imaging,02 PCC+
PREGNANCY TEST (SERUM AND URINE),Pregnancy Test (Serum And Urine,Laboratory,01 Clinic+
"ULTRASOUND-LIVER, GALL BLADDER, PANCREAS (LGBP) UPPER ABDOMEN","Ultrasound - Liver, Gall Bladder, Pancreas (Lgbp) Upper Abdomen",Imaging,02 PCC+
URINE ELECTROLYTES,Urine Electrolytes,Laboratory,01 Clinic+
BEDSIDE TRANSVAGINAL/TRANSRECTAL~UZGN,Bedside Transvaginal/Transrectal,Laboratory,01 Clinic+
HISTOPATH-BIOPSY MEDIUM BREAST,Histopath-Biopsy Medium Breast,Laboratory,03 Hospital Only
XRAY -FOOT APOL ( BILATERAL ),X-Ray - Foot Apol ( Bilateral ),Imaging,02 PCC+
THYROID PROFILE 2,Thyroid Profile 2,Laboratory,01 Clinic+
"ULTRASOUND- KIDNEY, URETER, BLADDER (KUB)-PROSTATE~UZGN","Ultrasound - Kidney, Ureter, Bladder (Kub)-Prostate~Uzgn",Imaging,02 PCC+
ULTRASOUND-PELVIC AND TRANSABDOMINAL (OB)-TWINS,Ultrasound - Pelvic And Transabdominal (Ob)-Twins,Imaging,02 PCC+
SERUM URIC ACID (SUA),Uric Acid,Laboratory,01 Clinic+
XRAY-ABDOMEN KUB-FLAT,X-Ray - Abdomen Kub-Flat,Imaging,02 PCC+
GENE EXPERT MTB RIF,Gene Expert Mtb Rif,Laboratory,01 Clinic+
ABI DOPPLER,Abi Doppler,Uncategorized,02 PCC+
BREAST TOMOSYNTHESIS,Breast Tomosynthesis,Laboratory,01 Clinic+
XRAY BOTH FOOT AP STANDING,X-Ray - Both Foot Ap Standing,Imaging,02 PCC+
"XRAY-PNS (AP/PA, WATERS, L)~XRPN","X-Ray - Pns (Ap/Pa, Waters, L)~Xrpn",Imaging,02 PCC+
XRAY - WRIST LEFT - PORTABLE,X-Ray - Wrist Left - Portable,Imaging,02 PCC+
ULTRASOUND-TRANSVAGINAL OB (OB ULTRASOUND) (BEDSIDE),Ultrasound - ) (Bedside),Imaging,02 PCC+
XRAY-ARM/HUMERUS APL (PORTABLE),X-Ray - Arm/Humerus Apl (Portable),Imaging,02 PCC+
PERIMETRY OR VFA-BOTH EYES,Perimetry Or Vfa-Both Eyes,Ophthalmology,02 PCC+
"XRAY - CHEST (AP/PA, L, O)~XRPN","X-Ray - Chest (Ap/Pa, L, O)~Xrpn",Imaging,02 PCC+
ACCENTURE-XRAY-T-CAGE AP,X-Ray - T-Cage Ap,Imaging,02 PCC+
"BASIC 10 (FBS, BUA, BUN, CREA, LIPID PROF, SGOT, SGPT",SGPT/ALT,Laboratory,01 Clinic+
BONE MARROW SMEAR,Bone Marrow Smear,Uncategorized,02 PCC+
COMPLETE BLOOD CHEMISTRY (LIPID PROFILE; FBS; BUA; BUN; CREATININE; SGPT; SGOT),Lipid Profile,Laboratory,01 Clinic+
XRAY - ( MOBILE ) CHEST : ONE VIEW ONLY,X-Ray - ( Mobile ) Chest : One View Only,Imaging,02 PCC+
XRAY-CHEST AP-LAT,X-Ray - Chest Ap-Lat,Imaging,02 PCC+
CYTOLOGY W/ CYTOSPIN,Cytology Cytospin,Uncategorized,02 PCC+
CRP NYCO,Crp Nyco,Uncategorized,02 PCC+
THYROID ANTIBODIES,Thyroid Antibodies,Laboratory,01 Clinic+
VITAMIN D-25 HYDROXY (ECLIA),Vitamin D-25 Hydroxy (Eclia,Uncategorized,02 PCC+
XRAY-KNEE APL/SKYLINE (MERCHANT) VIEW - UNILATERAL,X-Ray - Knee Apl/Skyline (Merchant) View - Unilateral,Imaging,02 PCC+
XRAY-KNEE JOINT UNILATERAL APL,X-Ray - Knee Joint Unilateral Apl,Imaging,02 PCC+
HIV 1/2 SCREENING,Hiv 1/2 Screening,Uncategorized,02 PCC+
"LIPID PROFILE (FBS, HDL,LDLCHOLESTEROL,TRIGLYCERIDE, BUN,BUA,CREA)",Lipid Profile,Laboratory,01 Clinic+
TROP I (HI SENSE),Trop I (Hi Sense,Uncategorized,02 PCC+
XRAY-SKULL WATERS,X-Ray - Skull Waters,Imaging,02 PCC+
NOSE SWAB CULTURE AND SENSITIVITY,Nose Swab Culture And Sensitivity,Laboratory,01 Clinic+
DISC COLOR PHOTO / EYE - 35%,Disc Color Photo / Eye - 35%,Ophthalmology,02 PCC+
CANCER ANTIGEN-125,Cancer Antigen-125,Laboratory,01 Clinic+
VARICELLA (IMMUNOGLOBULIN G) (IGG),Varicella (Immunoglobulin G) (Igg,Laboratory,01 Clinic+
"OGTT (1 HR, 2 HRS, 3 HRS) - 75 GMS","Ogtt (1 Hr, 2 Hrs, 3 Hrs) - 75 Gms",Uncategorized,02 PCC+
VITEK AUTOMATED ID/SENSITIVITY FOR RESPIRATORY CULTURE,Vitek Automated Id/Sensitivity For Respiratory Culture,Laboratory,01 Clinic+
XRAY-KNEE APLO W/ CR FILM,X-Ray - Knee Aplo,Imaging,02 PCC+
XRAY-ANKLE APL-O W/ CR FILM,X-Ray - Ankle Apl-O,Imaging,02 PCC+
CEA,Cea,Uncategorized,02 PCC+
XRAY-WRIST AP LATERAL,X-Ray - Wrist Ap Lateral,Imaging,02 PCC+
POLYPECTOMY,Polypectomy,Uncategorized,02 PCC+
TROPONIN I STAT,Troponin,Uncategorized,02 PCC+
SPIROMETRIC STUDIES W POST BRONCHIDILATOR,Spirometric Studies W Post Bronchidilator,Uncategorized,02 PCC+
ACCENTURE-ULTRASOUND-NECK,Ultrasound - Neck,Imaging,02 PCC+
ACCENTURE-ULTRASOUND-PELVIC (GYNE),Ultrasound - Pelvic (Gyne),Imaging,02 PCC+
BLOOD C/S AEROBIC W/AUTO MIC USING FA BOTTLE),Blood C/S Aerobic Auto Mic Using Fa Bottle,Laboratory,01 Clinic+
COVID INFLUENZA A/B ANTIGEN,COVID-19 Test,Laboratory,01 Clinic+
COVID19/FLU COMBO A & B RAPID TEST,COVID-19 Test,Laboratory,01 Clinic+
CULTURE W/ AUTO ID/MIC- OTHERS,Culture Auto Id/Mic- Others,Laboratory,01 Clinic+
"CULTURE W/ AUTO ID/MIC-DISCHARGES (VAGINAL,PENILE,URETHRAL,ETC)","Culture Auto Id/Mic-Discharges (Vaginal,Penile,Urethral,Etc",Laboratory,01 Clinic+
"CULTURE W/ AUTO ID/MIC-SWAB(THROAT,NASAL,WOUND,EAR,NOSE,ETC)","Culture Auto Id/Mic-Swab(Throat,Nasal,Wound,Ear,Nose,Etc",Laboratory,01 Clinic+
DIGITAL LEFT KNEE AP LAT,Digital Left Knee Ap Lat,Uncategorized,02 PCC+
NON CONTACT TONOMETRY,Non Contact Tonometry,Uncategorized,02 PCC+
PNS/NASO (PLAIN STUDIES) - PF,Pns/Naso (Plain Studies) - Pf,Uncategorized,02 PCC+
SPIROMETRY + LUNG VOLUME,Spirometry + Lung Volume,Uncategorized,02 PCC+
STRESS TEST - TREADMILL EXERCISE TEST,Treadmill Exercise Test,Cardiology,02 PCC+
URINE C/S WITH AUTO ID/MIC,Urine C/S Auto Id/Mic,Laboratory,01 Clinic+
VISUAL EVOKE POTENTIAL (VEP),Visual Evoke Potential (Vep),Uncategorized,02 PCC+
HAV IGG (HEPATITIS A),Hav Igg (Hepatitis A,Laboratory,01 Clinic+
TROPONIN I 3IN1,Troponin,Uncategorized,02 PCC+
OCT OPTIC NERVE HEAD (GLAUCOMA)- ONE EYE,Oct Optic Nerve Head (Glaucoma)- One Eye,Ophthalmology,02 PCC+
ARTERIAL BLOOD GAS (ABG),Arterial Blood Gas (Abg,Laboratory,01 Clinic+
"XRAY-BOTH HIPS, AP, RIGHT & LEFT LATERAL","X-Ray - Both Hips, Ap, Right & Left Lateral",Imaging,02 PCC+
XRAY-CHEST PAL/AP & LATERAL (ADULT),X-Ray - Chest Pal/Ap & Lateral (Adult),Imaging,02 PCC+
BIOPSY OF UPPER NOSE/THROAT,Biopsy Of Upper Nose/Throat,Uncategorized,03 Hospital Only
ULTRASOUND-ANY 3 ORGAN,Ultrasound - Any 3 Organ,Imaging,02 PCC+
SERUM IRON (FE)-SEND OUT,Serum Iron (Fe,Laboratory,01 Clinic+
XRAY-KNEE AP-O BILATERAL,X-Ray - Knee Ap-O Bilateral,Imaging,02 PCC+
ELECTROENCEPHALOGRAPHY (EEG-ROUTINE) ADULT,Electroencephalography (Eeg-) Adult,Uncategorized,02 PCC+
XRAY-EXTREMITIES (KNEE/ANKLE),X-Ray - Extremities (Knee/Ankle),Imaging,02 PCC+
XRAY-FOREARM PORTABLE,X-Ray - Forearm Portable,Imaging,02 PCC+
LIPASE-STAT,Lipase,Uncategorized,02 PCC+
SPIROMETRY (PFT),Spirometry (Pft,Uncategorized,02 PCC+
ULTRASOUND-MUSKULOSKELETAL HAND BILATERAL,Ultrasound - Muskuloskeletal Hand Bilateral,Imaging,02 PCC+
LENSTAR BIOMETRY) PER EYE~EYRE,Lenstar Biometry) Per Eye,Ophthalmology,02 PCC+
AFB SMEAR (ACID FAST BACILLI) X2,Afb Smear (Acid Fast Bacilli) X2,Laboratory,01 Clinic+
ULTRASOUND - TRANSABDOMINAL SECOND & THIRD/PELVIC,Ultrasound - Transabdominal Second & Third/Pelvic,Imaging,02 PCC+
ULTRASOUND-TRANSRECTAL (TRS) (PROSTATE),Ultrasound - Transrectal (Trs) (Prostate),Imaging,02 PCC+
24 HOURS URINE MAGNESIUM,Magnesium (Mg),Laboratory,01 Clinic+
TOTAL IRON,Total Iron,Uncategorized,02 PCC+
ULTRASOUND-2 ORGANS (PORTABLE),Ultrasound - 2 Organs (Portable),Imaging,02 PCC+
RAPID TEST FOR H. PYLORI IN STOOL/SERUM,Rapid Test For H. Pylori In Stool/Serum,Laboratory,01 Clinic+
ULTRASOUND - HBT - PORTABLE,Ultrasound - Hbt - Portable,Imaging,02 PCC+
XRAY-SUNRISE PATELLA VIEW BILATERAL,X-Ray - Sunrise Patella View Bilateral,Imaging,02 PCC+
PROTHROMBIN TIME WITH INR,Prothrombin Time Inr,Uncategorized,02 PCC+
FERRITIN (SEND OUT),Ferritin,Uncategorized,02 PCC+
XRAY KNEE AP/L,X-Ray - Knee Ap/L,Imaging,02 PCC+
LEPTOSPIRAL IGG/IGM (RAPID),Leptospiral Igg/Igm (Rapid,Laboratory,01 Clinic+
TISSUE CROSSMATCHING SLMC,Tissue Crossmatching Slmc,Uncategorized,02 PCC+
"CHEM 8 (CHEM 6 + HDL, LDL)","Chem 8 (Chem 6 + Hdl, Ldl",Uncategorized,02 PCC+
STOOL CONCENTRATION TECHNIQUE,Stool Concentration Technique,Uncategorized,02 PCC+
TROPONIN I QUANTITATIVE,Troponin,Uncategorized,02 PCC+
"LIPID PROFILE_STAT (INCLUSIONS: CHOLESTEROL, HDL, LDL, TRIGLYCERIDES, AND VLDL)",Lipid Profile,Laboratory,01 Clinic+
XRAY-HIPS JOINTS FROG LEG AP,X-Ray - Hips Joints Frog Leg Ap,Imaging,02 PCC+
CA 125 (HI-PRE),Ca 125 (Hi-Pre,Uncategorized,02 PCC+
OPD THYROID SCINTIGRAPHY (TC99M TC04),Opd Thyroid Scintigraphy (Tc99M Tc04,Laboratory,01 Clinic+
TREADMILL - STRESS TEST-CVST,Treadmill Exercise Test,Cardiology,02 PCC+
RANDOM ALBUMIN/CREATININE RATIO,Creatinine,Laboratory,01 Clinic+
MRSA - METHICILLINE RESISTANT STAPHYLOCOCCUS AUREUS,Mrsa - Methicilline Resistant Staphylococcus Aureus,Uncategorized,02 PCC+
ECG 15 LEAD,Electrocardiogram (ECG),Cardiology,02 PCC+
TOTAL SERUM IGE,Total Serum Ige,Laboratory,01 Clinic+
PORTABLE KUB AND PROSTATE (UTZ) (ULTRA),Ultrasound - ) (Ultra),Uncategorized,02 PCC+
XRAY - SHOULDER AP/EXTERNAL/INTERNAL,X-Ray - Shoulder Ap/External/Internal,Imaging,02 PCC+
XRAY-FOOT LATERAL VIEW (UNILATERAL),X-Ray - Foot Lateral View (Unilateral),Imaging,02 PCC+
"AFP (LIVER, GERM CELL TUMORS) EIA","Afp (Liver, Germ Cell Tumors) Eia",Uncategorized,02 PCC+
TINNITUS TEST,Tinnitus Test,Laboratory,01 Clinic+
CT SCAN-NECK CONTRAST PHASE W/ PF,CT Scan - Neck Contrast Phase,Imaging,03 Hospital Only
CULTURE AND SENSITVITY - SPUTUM (AUTO),Culture And Sensitvity - Sputum (Auto,Laboratory,01 Clinic+
"T3, T4 (FREE), TSH (DRIVE IN)",Thyroid Stimulating Hormone (TSH),Laboratory,01 Clinic+
XRAY-SHOULDER ROCKWOOD VIEW,X-Ray - Shoulder Rockwood View,Imaging,02 PCC+
FERRITIN W/ TITER,Ferritin,Uncategorized,02 PCC+
XRAY-CHEST PAL 10X12 (PEDIA),X-Ray - Chest Pal 10X12 (Pedia),Imaging,02 PCC+
SALMONELLA DUAL (IGM AND IGG),Salmonella Dual (Igm And Igg,Laboratory,01 Clinic+
DIET COUNSELING,Diet Counseling,Uncategorized,02 PCC+
RESPIRATORY SPECIMEN CULTURE AND SENSITIVITY,Respiratory Specimen Culture And Sensitivity,Laboratory,01 Clinic+
ULTRASOUND-ORBIT,Ultrasound - Orbit,Imaging,02 PCC+
"XRAY - HUMERUS (AP/PA, L)-XRPN","X-Ray - Humerus (Ap/Pa, L)-Xrpn",Imaging,02 PCC+
BIOPSY (SMALL) SEND OUT,Biopsy (Small,Uncategorized,03 Hospital Only
"HEMOSTASIS PROFILE (PLATELET COUNT, BLEEDING TIME, PARTIAL THROMBOPLASTIN TIME, PROTHROMBIN TIME AND FACTOR XIII ASSAY)","Hemostasis Profile (Platelet Count, Bleeding Time, Partial Thromboplastin Time, Prothrombin Time And Factor Xiii Assay",Laboratory,01 Clinic+
CONCENTRATION TECHNIQUE FOR AMOEBA,Concentration Technique For Amoeba,Uncategorized,02 PCC+
TOTAL T3 (TRIIODOTHYRONINE),Total T3 (Triiodothyronine,Uncategorized,02 PCC+
XRAY-SKYLINE/SUNRISE/MERCHANT (BILATERAL),X-Ray - Skyline/Sunrise/Merchant (Bilateral),Imaging,02 PCC+
C. LARGE (HISTOPATHOLOGY) (5.1 - 8CM),C. Large (Histopathology) (5.1 - 8Cm,Uncategorized,02 PCC+
XRAY -WHOLE SPINE,X-Ray - Whole Spine,Imaging,02 PCC+
BLOOD CS (MNMCH),Blood Cs (Mnmch,Laboratory,01 Clinic+
KERATOCONUS SCREENING PACKAGE,Keratoconus Screening Package,Laboratory,01 Clinic+
HISTOPATH BIOPSY WITH H. PYLORI DETECTION,Histopath Biopsy H. Pylori Detection,Uncategorized,03 Hospital Only
PERIPHERAL BLOOD SMEAR (PBS),Peripheral Blood Smear (Pbs,Laboratory,01 Clinic+
RNS,Rns,Uncategorized,02 PCC+
BLOOD TYPING/RH TYPING,Blood Typing/Rh Typing,Laboratory,01 Clinic+
"THERAPEUTIC, MINOR, OPTHA, AND/OR ENT PROCEDURES","Therapeutic, Minor, Optha, And/Or Ent Procedures",Uncategorized,02 PCC+
COMPLETE PFT-CUE,Complete Pft-Cue,Uncategorized,02 PCC+
A SCAN BIOMETRY (SINGLE EYE),A Scan Biometry (Single Eye,Ophthalmology,02 PCC+
ESTRADIOL/ESTROGEN,Estradiol/Estrogen,Uncategorized,02 PCC+
HUMAN EPIDIDYMIS 4 (HE4),Human Epididymis 4 (He4,Uncategorized,02 PCC+
TISSUE GIEMSA,Tissue Giemsa,Uncategorized,02 PCC+
XRAY-DIGITAL CHEST LAT (ADULT),X-Ray - Digital Chest Lat (Adult),Imaging,02 PCC+
AFB SMEAR (AURAMINE),Afb Smear (Auramine,Uncategorized,02 PCC+
GROUP B STREPTOCOCCUS AG,Group B Streptococcus Ag,Laboratory,01 Clinic+
"CREATININE ISOENZYMES; CK TOTAL CK-MM, CK-MB",Creatinine,Laboratory,01 Clinic+
REGIONAL SPECT CT WITH CONTRAST,Regional Spect Ct Contrast,Laboratory,01 Clinic+
ANTI-CCP (SEND-OUT),Anti-Ccp (Send-Out,Uncategorized,02 PCC+
RENAL PANEL,Renal Panel,Laboratory,01 Clinic+
THERAPEUTIC PHLEBOTOMY,Therapeutic Phlebotomy,Uncategorized,02 PCC+
XRAY-SKULL AP 11X14,X-Ray - Skull Ap 11X14,Imaging,02 PCC+
ECG PEDIA WITH RHYTHM STRIP AT CVL,Electrocardiogram (ECG),Cardiology,02 PCC+
SPUTUM ACID- FAST BACILLI (AFB) 3X,Sputum Acid- Fast Bacilli (Afb) 3X,Laboratory,01 Clinic+
ULTRASOUND TRANSRECTAL,Ultrasound - Transrectal,Imaging,02 PCC+
SIMPLE SPIROMETRY - PEDIA (PRE/POST),Simple Spirometry - Pedia (Pre/Post,Uncategorized,02 PCC+
MRI PELVIS- PROSTATE PROTOCOL~MRPN-FILM [14X17 (7),MRI - Pelvis- Prostate Protocol~Mrpn-Film [14X17 (7),Imaging,03 Hospital Only
MRI-PELVIS CERVIX PROTOCOL~MRCT (14X17),MRI - Pelvis Cervix Protocol~Mrct (14X17),Imaging,03 Hospital Only
"ULTRASOUND - KINDEY, URETER, BLADDER (KUB) WITH PROSTATE","Ultrasound - Kindey, Ureter, Bladder (Kub)",Imaging,02 PCC+
"XRAY - VERTEBRAE, LUMBAR (AP/PA/L)~XRPN","X-Ray - Vertebrae, Lumbar (Ap/Pa/L)~Xrpn",Imaging,02 PCC+
XRAY-SCAPULAR VIEW,X-Ray - Scapular View,Imaging,02 PCC+
RA / RF (W/ DILUTION),Ra / Rf ( Dilution,Uncategorized,02 PCC+
ECG - ELECTROCARDIOGRAM 15 LEADS (PORTABLE) PEDIA,Electrocardiogram (ECG),Cardiology,02 PCC+
AURAL TOILETTE / EAR CLEANING BILATERAL,Aural Toilette / Ear Cleaning Bilateral,Uncategorized,02 PCC+
BLOOD CHEMISTRY 6,Blood Chemistry 6,Laboratory,01 Clinic+
CA 125 (OVARY),Ca 125 (Ovary,Uncategorized,02 PCC+
CT SCAN-EXTREMITIES 3D,CT Scan - Extremities 3D,Imaging,03 Hospital Only
DIGITAL FUNDUS PHOTO PER EYE,Digital Fundus Photo Per Eye,Ophthalmology,02 PCC+
HBA1C AUTOMATED,HbA1c,Laboratory,01 Clinic+
LAB-SO-VITAMIN D3 ASSAY (CMC),Lab-So-Vitamin D3 Assay (Cmc,Uncategorized,02 PCC+
TISSUE BIOPSY -TINY,Tissue Biopsy -Tiny,Uncategorized,03 Hospital Only
ULTRASOUND-SOFT TISSUE NECK,Ultrasound - Soft Tissue Neck,Imaging,02 PCC+
URINE CULTURE AND SENSITIVITY WITH FOSFOMYCIN,Urine Culture And Sensitivity Fosfomycin,Laboratory,01 Clinic+
URINE CULTURE AND SENSITIVITY WITH PHOSPHOMYCIN,Urine Culture And Sensitivity Phosphomycin,Laboratory,01 Clinic+
UROFLOWMETRY WITH BLADDER SCAN,Uroflowmetry Bladder Scan,Uncategorized,02 PCC+
XRAY - CHEST (2 VIEWS),X-Ray - Chest (2 Views),Imaging,02 PCC+
PTA/SRT/TYMPA,Pta/Srt/Tympa,Uncategorized,02 PCC+
XRAY-SHOULDER APL AND AXILLARY VIEW,X-Ray - Shoulder Apl And Axillary View,Imaging,02 PCC+
XRAY-SCOUT FILM OF ABDOMEN,X-Ray - Scout Film Of Abdomen,Imaging,02 PCC+
IMPULSE OSCILLOMETRY BRONCHODILATOR,Impulse Oscillometry Bronchodilator,Uncategorized,02 PCC+
3D EYE ULTRASOUND,Ultrasound,Imaging,02 PCC+
CHLORIDE (ELECTROLYTES),Chloride (Cl),Laboratory,01 Clinic+
THYROID STIMULATING HORMONE (TSH) IRMA,Thyroid Stimulating Hormone (TSH),Laboratory,01 Clinic+
XRAY-KUB~XRPN,X-Ray - Kub~Xrpn,Imaging,02 PCC+
AUDIOMETRY WITH TYMPANOMETRY,Audiometry Tympanometry,Uncategorized,02 PCC+
BRAIN STEM AUDITORY EVOKED RESPONSE (BAER),Brain Stem Auditory Evoked Response (Baer,Uncategorized,02 PCC+
XRAY CHEST PAL,X-Ray - Chest Pal,Imaging,02 PCC+
XRAY-BARIUM ENEMA PLAIN (6 YRS & BELOW),X-Ray - Barium Enema Plain (6 Yrs & Below),Imaging,02 PCC+
XRAY -KNEE APL & OBLIQUE UNI,X-Ray - Knee Apl & Oblique Uni,Imaging,02 PCC+
TOTAL PROTEIN ALBUMIN GLOBULIN (TPAG),Total Protein Albumin Globulin (Tpag,Laboratory,01 Clinic+
INTACT PTH (SGD),Intact Pth (Sgd,Uncategorized,02 PCC+
XRAY-KNEE APL (HALF AXIAL OF PATELA),X-Ray - Knee Apl (Half Axial Of Patela),Imaging,02 PCC+
ANTI-NUCLEAR ANTIBODY TEST ( ANA),Anti-Nuclear Antibody Test ( Ana,Laboratory,01 Clinic+
CA-125,Ca-125,Uncategorized,02 PCC+
DENGUE NS1 (NONSTRUCTURAL PROTEIN 1)/IGG/IGM,Dengue Test,Laboratory,01 Clinic+
FERRITIN W/ DILUTION,Ferritin,Uncategorized,02 PCC+
PHOTOTHERAPY (UVA),Phototherapy (Uva,Uncategorized,02 PCC+
RANDOM URINE PROTEIN/CREATININE RATIO (SEND OUT),Creatinine,Laboratory,01 Clinic+
XRAY - THORACIC/RIB CAGE (ADULT) AP AND OBLIQUE (2 VIEWS),X-Ray - Thoracic/Rib Cage (Adult) Ap And Oblique (2 Views),Imaging,02 PCC+
ECG 15 LEADS-PEDIATRIC~CVEC,Electrocardiogram (ECG),Cardiology,02 PCC+
BLEEDING TIME (SIMPLATE),Bleeding Time (Simplate,Laboratory,01 Clinic+
XRAY-DIGITAL LEFT ELBOW APL,X-Ray - Digital Left Elbow Apl,Imaging,02 PCC+
BLOOD TYPING-DIAMED,Blood Typing-Diamed,Laboratory,01 Clinic+
XRAY KNEE APL,X-Ray - Knee Apl,Imaging,02 PCC+
XRAY-HAND PA/O/LAT/ UNILATERAL,X-Ray - Hand Pa/O/Lat/ Unilateral,Imaging,02 PCC+
SKIN BIOPSY,Skin Biopsy,Uncategorized,03 Hospital Only
KAOLIN/SILICA CLOTTING TIME,Kaolin/Silica Clotting Time,Uncategorized,02 PCC+
"ULTRASOUND-APPENDIX, KIDNEY, URETER, BLADDER (KUB)","Ultrasound - Appendix, Kidney, Ureter, Bladder (Kub)",Imaging,02 PCC+
ATE- ANTI-NUCLEAR ANTIBODY (ANA) ELIA,Ate- Anti-Nuclear Antibody (Ana) Elia,Laboratory,01 Clinic+
"ULTRASOUND-ADRENAL GLAND, KIDNEY URETER BLADDER (KUB)","Ultrasound - Adrenal Gland, Kidney Ureter Bladder (Kub)",Imaging,02 PCC+
"BODY FLUID CYTO, ANY SOURCE","Body Fluid Cyto, Any Source",Uncategorized,02 PCC+
"BILIRUBIN TOTAL, DIRECT, INDIRECT-SEND OUT",Bilirubin,Uncategorized,02 PCC+
FUNGAL SENSITIVITY,Fungal Sensitivity,Uncategorized,02 PCC+
H. PYLORI ANTIBODY QUALITATIVE (SERUM),H. Pylori Antibody Qualitative (Serum,Laboratory,01 Clinic+
ACCENTURE-XRAY-THORACIC SPINE APL-O 11X14,X-Ray - Thoracic Spine Apl-O 11X14,Imaging,02 PCC+
ULTRASOUND - INGUINO SCROTAL (BILATERAL),Ultrasound - Inguino Scrotal (Bilateral),Imaging,02 PCC+
HISTOPATH 4 OR MORE SMALL SPECIMENS,Histopath 4 Or More Small Specimens,Uncategorized,02 PCC+
ULTRASOUND-OB PELVIC(BIOMETRY),Ultrasound - Ob Pelvic(Biometry),Imaging,02 PCC+
XRAY - STERNUM LATERAL,X-Ray - Sternum Lateral,Imaging,02 PCC+
HEMO GLUCOSE TEST/RANDOM BLOOD SUGAR/CAPILLARY BLOOD GLUCOSE (HGT/RBS/CBG),Hemo Glucose Test/Random Blood Sugar/Capillary Blood Glucose (Hgt/Rbs/Cbg,Laboratory,01 Clinic+
BIOPSY MEDIUM SIZE - 2,Biopsy Medium Size - 2,Uncategorized,03 Hospital Only
ULTRASOUND-PROSTATE/PELVIC-GYNE (TRANSRECTAL),Ultrasound - Prostate/Pelvic-Gyne (Transrectal),Imaging,02 PCC+
CA 19-9(PANCREATIC CA),Ca 19-9(Pancreatic Ca,Uncategorized,02 PCC+
CA19-9,Ca19-9,Uncategorized,02 PCC+
"CHEM 10, CHEM 5 + LIPI PROFILE+ OT AND PT","Chem 10, Chem 5 + Lipi Profile+ Ot And Pt",Laboratory,01 Clinic+
"COMPLETE BLOOD CHEMISTRY (FBS, CREA, SUA, LIPID PROFILE, SGPT)",Lipid Profile,Laboratory,01 Clinic+
"THYROID PANEL 4 (FT3, FT4, TSH)",Thyroid Panel,Laboratory,01 Clinic+
"XRAY- PARANASAL SINUSES (WATERS, CALDWELLS)","X-Ray - Paranasal Sinuses (Waters, Caldwells)",Imaging,02 PCC+
XRAY-WHOLE SPINE (CERVICAL/THORACIC/LS/COCCYX/PELVIS),X-Ray - Whole Spine (Cervical/Thoracic/Ls/Coccyx/Pelvis),Imaging,02 PCC+
XRAY-CHEST APICAL SERIES,X-Ray - Chest Apical Series,Imaging,02 PCC+
ARTERIAL BLOOD GAS ANALYSIS,Arterial Blood Gas Analysis,Laboratory,01 Clinic+
ULTRASOUND-PELVIC (TWIN),Ultrasound - Pelvic (Twin),Imaging,02 PCC+
"XRAY - VERTEBRAE, CERVICAL (AP/PA, L)~XRPN","X-Ray - Vertebrae, Cervical (Ap/Pa, L)~Xrpn",Imaging,02 PCC+
CHIKUNGUNYA IGM ELISA,Chikungunya Igm Elisa,Laboratory,01 Clinic+
PHOSPHORUS URINE,Phosphorus,Laboratory,01 Clinic+
ULTRASOUND-WHOLE ABDOMEN 30% PF,Ultrasound - Whole Abdomen 30% Pf,Imaging,02 PCC+
